file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS_M0200_0700_4829416_to_4834745,འཛམ་གླིང་ཡང་གཞན་པ་འཛམ་གླིང་གཉིས་སི་འདྲ་བོ་ཡོད་བ་ཡིན་ན་ཨེ་ནས་ཡང་འཛམ་གླིང་གཞན་པ་དེ་ལ་འགྲོ་ཡིན་ལབ་ནས་སྐད་ཆ་འདྲ་བོ་ཡོད་རཱ།  ,'dzam gling yang gzhan pa 'dzam gling gnyis si 'dra bo yod ba yin na e nas yang 'dzam gling gzhan pa de la 'gro yin lab nas skad cha 'dra bo yod rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0200_0700_4829416_to_4834745.wav,STT_NS,3,120,5.329,wav16k/STT_NS_M0200_0700_4829416_to_4834745.wav,འཛམ་གླིང་ཡང་གཞན་པ་འཛམ་གླིང་གཉིས་སེ་འདྲ་བོ་ཡོད་བ་ཡིན་ན་ ཨེ་ནས་ཡང་འཛམ་གླིང་གཞན་པ་དེ་ལ་འགྲོ་ཡ་ཡིན་ལབ་ནས་སྐད་ཆ་འདྲ་བོ་ཡོད་རཱ།
STT_NS_M0201_0471_3205338_to_3207382,མི་གཅིག་ལ་ཨེ་འདྲའི་འདྲ་བོ་བྱེད་བཅུག་གི་ཡོད་རཱ་ད།  ,mi gcig la e 'dra'i 'dra bo byed bcug gi yod rA da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0201_0471_3205338_to_3207382.wav,STT_NS,3,50,2.044,wav16k/STT_NS_M0201_0471_3205338_to_3207382.wav,མི་གཅིག་ལ་ཨེ་འདྲའི་འདྲ་བོ་བྱེད་བཅུག་གི་ཡོད་རཱ་ད།
STT_TT00046_01476.250-01480.750,ཨོ་དེ་འདྲའི་ཡིན་དུས། དེ་ལས་གཞན་ནའང་མིན་ན་དེ་དག་གར་གནས་འགྲོ་བ་ཀུན་གནོད་བྱེད།  ,o de 'dra'i yin dus/_de las gzhan na'ang min na de dag gar gnas 'gro ba kun gnod byed/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00046_01476.250-01480.750.wav,STT_TT,3,77,4.5,wav16k/STT_TT00046_01476.250-01480.750.wav,ཨོ་དེ་འདྲའི་ཡིན་དུས། དེ་ལས་གཞན་ནའང་མིན་ན། དེ་དག་གར་གནས་འགྲོ་བ་ཀུན་གནོས་ཆེ།
STT_NS_M0195_0590_3930383_to_3932448,ཡང་འཁྲུག་པ་ཆུང་ཆུང་ཆུང་ཆུང་འདྲ་བོ་ཤོར་མྱོང་ཡོད་རཱ།  ,yang 'khrug pa chung chung chung chung 'dra bo shor myong yod rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0195_0590_3930383_to_3932448.wav,STT_NS,3,52,2.065,wav16k/STT_NS_M0195_0590_3930383_to_3932448.wav,ཡང་འཁྲུག་པ་ཆུང་ཆུང་ཆུང་ཆུང་འདྲ་བོ་ཤོར་མྱོང་ཡོད་རཱ།
STT_NS_M0194_0075_538461_to_541120,ནམ་རྒྱུན་ང་མོག་མོག་ཨེ་འདྲར་ཞེ་དྲག་དགའ་ཡི་མེད་རེད་བ་ཡིན་ན་ཡང་ ,nam rgyun nga mog mog e 'drar zhe drag dga' yi med red ba yin na yang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0194_0075_538461_to_541120.wav,STT_NS,3,61,2.659,wav16k/STT_NS_M0194_0075_538461_to_541120.wav,ནམ་རྒྱུན་ང་མོག་མོག་ཨེ་འདྲའི་ཞེ་དྲག་དགའ་ཡི་མེད་རེད། ཡིན་ན་ཡང་།
STT_TT00047_00558.650-00559.700,ལ་དགྲ་ལྟར་བལྟས།  ,la dgra ltar bltas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00047_00558.650-00559.700.wav,STT_TT,3,17,1.0500000000000682,wav16k/STT_TT00047_00558.650-00559.700.wav,ལ་དགྲ་ལྟར་གཏས།
STT_TT00045_02472.800-02478.750,དེའི་ཆེད་དུ་ཨེ་ནས། དབྱེ་བ་མེད་པ་ཨེ་ནས་བསླབ་པ་ལས་མི་འདའ་བར་འབད་པ་སྐྱེ་དགོས་ཀི་རེད་ཟེ། དེ་གསུངས་བ་རེད།  ,de'i ched du e nas/_dbye ba med pa e nas bslab pa las mi 'da' bar 'bad pa skye dgos ki red ze/_de gsungs ba red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00045_02472.800-02478.750.wav,STT_TT,3,102,5.949999999999818,wav16k/STT_TT00045_02472.800-02478.750.wav,དེའི་ཆེད་དུ། ཨེ་ནས་དབྱེ་བ་མེད་པར། ཨེ་ནས་བསླབ་པ་ལས་མི་འདའ་བར་འབད་པ་སྐྱེ་དགོས་ཀི་རེད་ཟེ། དེ་གསུངས་བ་རེད།
STT_TT00042_07571.700-07573.700,བསླབ་པ་གསུམ་ལ་ཚུལ་བཞིན་དུ། བསླབ་པར་བྱ་དགོས།  ,bslab pa gsum la tshul bzhin du/_bslab par bya dgos/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00042_07571.700-07573.700.wav,STT_TT,3,45,2.0,wav16k/STT_TT00042_07571.700-07573.700.wav,བསླབ་པ་གསུམ་ལ་ཚུལ་བཞིན་དུ་བསླབ་པར་བྱ་དགོས།
STT_TT00045_04802.700-04806.150,སྟོབས་དང་ལྡན་པ་ཟེར་ཡ་དེ་གས་དེ། མཐུན་པའི་རྒྱན་རེད། རྣམ་སྨིན་ཡོན་ཏན་བརྒྱད་ལྡན་ནང་ལ་གསུང་གི་འདུག་ག ,stobs dang ldan pa zer ya de gas de/_mthun pa'i rgyan red/_rnam smin yon tan brgyad ldan nang la gsung gi 'dug ga_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00045_04802.700-04806.150.wav,STT_TT,3,96,3.449999999999818,wav16k/STT_TT00045_04802.700-04806.150.wav,སྟོབས་དང་ལྡན་པ་ཟེར་ཡ་དེ་གས་དེ། མཐུན་པའི་རྐྱེན་རེད། རྣམ་སྨིན་ཡོན་ཏན་རྒྱན་ལྡན་ནང་ལ་གསུང་གི་འདུག་ག
STT_NS_M0194_0093_646897_to_649207,ཨ་ད་ད་ལྟ་ང་ཚོ་མཐོ་སློབ་ལ་བརྩིས་གཞི་ད་ཡོད་བ་ད་ ,a da da lta nga tsho mtho slob la brtsis gzhi da yod ba da _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0194_0093_646897_to_649207.wav,STT_NS,3,46,2.31,wav16k/STT_NS_M0194_0093_646897_to_649207.wav,ཨ་ད་ད་ལྟ་ང་ཚོ་མཐོ་སློབ་ལ་རྩིས་གཞི་ད་ཡོད་བ་ད།
STT_TT00041_02614.550-02616.850,ཐུབ་པའི་བསྟན་པ་དེ་ཡེ། ད་ལོ་ཉིས་སྟོང་།  ,thub pa'i bstan pa de ye/_da lo nyis stong /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00041_02614.550-02616.850.wav,STT_TT,3,39,2.299999999999727,wav16k/STT_TT00041_02614.550-02616.850.wav,ཐུབ་པའི་བསྟན་པ་དེ་ཡེ། ད་ལོ་ཉིས་སྟོང་།
